,Date,Time,Open,High,Low,Close,Volume
139,2013-8-17,00:00:00,98.27,99.7,97.5,99.4,1601
140,2013-8-18,00:00:00,100.0,100.0,98.42,99.25,929
141,2013-8-19,00:00:00,99.25,105.0,98.82,102.6,7038
142,2013-8-20,00:00:00,102.85,104.94,100.48,104.94,3887
143,2013-8-21,00:00:00,104.94,114.45,104.57,110.43,9461
144,2013-8-22,00:00:00,111.62,113.01,107.99,109.14,4026
145,2013-8-23,00:00:00,109.12,110.0,104.3,107.89,5316
146,2013-8-24,00:00:00,107.66,110.6,106.61,108.3,2760
147,2013-8-25,00:00:00,109.17,114.76,109.16,113.11,5981
148,2013-8-26,00:00:00,113.12,113.9,110.0,112.45,4105
149,2013-8-27,00:00:00,111.85,119.0,111.77,117.7,8861
150,2013-8-28,00:00:00,118.0,119.76,116.0,118.0,3508
151,2013-8-29,00:00:00,117.95,121.0,117.29,118.5,2722
152,2013-8-30,00:00:00,118.93,126.3,118.05,125.0,9634
153,2013-8-31,00:00:00,124.89,134.94,123.75,127.8,12537
154,2013-9-1,00:00:00,128.21,132.0,126.81,130.41,2117
155,2013-9-2,00:00:00,130.73,132.05,128.0,129.45,4229
156,2013-9-3,00:00:00,129.23,131.0,126.9,129.18,3621
157,2013-9-4,00:00:00,130.0,130.0,115.0,122.24,9377
158,2013-9-5,00:00:00,122.22,127.99,115.81,122.63,7294
159,2013-9-6,00:00:00,122.0,124.75,115.0,116.82,5683
160,2013-9-7,00:00:00,116.0,121.10888999999999,115.5,119.76,2899
161,2013-9-8,00:00:00,119.79,120.84,116.77,117.98,2707
162,2013-9-9,00:00:00,118.0,124.0,115.98561000000001,121.5,8252
163,2013-9-10,00:00:00,121.17,124.24,120.07,122.07,3626
164,2013-9-11,00:00:00,122.34,127.64,118.39,126.34,9078
165,2013-9-12,00:00:00,126.92,128.5,123.0,126.63,5161
166,2013-9-13,00:00:00,126.63,129.11,124.82,127.18,2524
167,2013-9-14,00:00:00,126.23,127.98,122.53,124.5,3550
168,2013-9-15,00:00:00,124.5,126.35,123.15,125.06,1973
169,2013-9-16,00:00:00,125.18,126.84,124.0,125.68,1710
170,2013-9-17,00:00:00,126.15,127.74,125.32,127.13,1790
171,2013-9-18,00:00:00,126.72,128.41,125.78,126.9,3950
172,2013-9-19,00:00:00,127.0,127.63,123.39,124.38,3443
173,2013-9-20,00:00:00,123.8,126.01,121.5,122.91,3838
174,2013-9-21,00:00:00,122.92,124.02,122.0,123.64,1023
175,2013-9-22,00:00:00,123.5,123.59,122.22,122.97,1078
176,2013-9-23,00:00:00,122.93,124.09,122.0,122.75,2465
177,2013-9-24,00:00:00,123.0,124.19,121.89,124.09,3165
178,2013-9-25,00:00:00,123.89,125.22,123.35,123.75,1900
179,2013-9-26,00:00:00,123.32,125.02,123.3,125.02,1002
180,2013-9-27,00:00:00,124.4,126.86,124.1,126.48,2578
181,2013-9-28,00:00:00,126.57,127.0,124.8,127.0,2488
182,2013-9-29,00:00:00,126.87,128.8,126.0,126.76,3011
183,2013-9-30,00:00:00,127.0,127.51,123.76,125.95,3072
184,2013-10-1,00:00:00,125.95,127.9399,125.81,127.49,2151
185,2013-10-2,00:00:00,127.2,128.5,83.26,103.85,38763
186,2013-10-3,00:00:00,103.99,118.74,101.66,117.87,11393
187,2013-10-4,00:00:00,117.87,123.25,117.41,121.94,6632
188,2013-10-5,00:00:00,121.94,125.0,115.0,121.62,1451
189,2013-10-6,00:00:00,121.14,122.5,121.01,122.49,399
190,2013-10-7,00:00:00,122.26,124.45,120.8,123.48,4205
191,2013-10-8,00:00:00,123.5,125.16,122.02,124.11,5205
192,2013-10-9,00:00:00,124.4,127.99,123.36,126.00071000000001,6494
193,2013-10-10,00:00:00,125.67,126.79,125.0,126.1,2321
